1;EXPORT 24JAN24;;MISSING MIGRANTS  - Tracking Deaths Along Migratory Routes;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;IOM - International Organization for Migration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;www.missingmigrants.iom.int;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;Missing Migrants Project is a joint initiative of IOM's Global Migration Data Analysis Centre (GMDAC) and Media and Communications Division (MCD). ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;UNITED case ID nr.;Incident ID;Main ID;Web ID    (old);Region of Incident;Website Date;Number Dead;Minimum Estimated Number of Missing;Total Dead and Missing;Number of Survivors;Number of Females;Number of Males;Number of Children;Region of Origin;Country of Origin;Cause of Death;Article title;Location of Death;Information Source;LAT;LONG;URL;Migration Route;Source Quality;Incident Type;UNSD Geographical Grouping;Reported Date;Reported Year;Reported Month;IOM Coordinates Getallen omdraaien, onderste eerst in FM  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;7500;2023.MMP1310;2023.MMP1310;;Mediterranean;16/12/23;;61;61;25;;;;Eastern Africa (P);Mixed/Unknown;Drowning;;Unspecified location off Zwara, Libya - embarked on 13 December from Zwara, Libya;IOM Libya, IOM Italy, ANSA, The Telegraph;LAT  33.449333;LONG  12.0905;https://archive.ph/lkQnw;Central Mediterranean;4;Incident;Uncategorized;;2023;December;33.449333, 12.0905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3044;;2023.MMP1305;2023.MMP1305;;Europe;15/12/23;1;;1;59;;;;Unknown;Unknown;Drowning;Migrant boat capsizes in English Channel, one person dead;8 km off the coast of Grand-Fort-Phillippe Nord, France;IOM European Economic Area, InfoMigrants, Actu France, France Bleu;LAT  51.091614;LONG  1.900705;https://archive.ph/7LxKW;English Channel to the UK;4;Incident;Western Europe;;2023;December;51.091614, 1.900705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3045;;2023.MMP1306;2023.MMP1306;;Europe;15/12/23;1;;1;4;;1;;Unknown;Unknown;Sickness / lack of access to adequate healthcare;Manche, deux morts après deux naufrages de bateaux de migrants;Near Plage de Sangatte, Sangatte, France;France Bleu;LAT  50.973741;LONG  1.742938;https://archive.ph/1FtpE;English Channel to the UK;1;Incident;Western Europe;;2023;December;50.973741, 1.742938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3046;;2023.MMP1292;2023.MMP1292;;Europe;12/12/23;1;;1;;;1;;Unknown;Unknown;Vehicle accident / death linked to hazardous transport;France, A young man died while trying to board a train heading to Britain;Train tracks near the Eurotunnel freight depot area at Calais-Fréthun station, Fréthun, France; InfoMigrants (Arabic), La voix du Nord, InfoMigrants (French);LAT  50.901333;LONG  1.811752;https://archive.ph/d31tH;;3;Incident;Western Europe;;2023;December;50.901333, 1.811752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
575;;2023.MMP1377;2023.MMP1377;;Mediterranean;11/12/23;;14;14;;;;;Northern Africa;Algeria;Drowning;;Unspecified location in the Mediterranean - embarkation from Oran, Algeria en route to Almeria, Spain;;LAT  36.20082716;LONG  -1.58019;;Western Mediterranean;4;Incident;Uncategorized;;2023;December;36.20082716, -1.58019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620;;2023.MMP1376;2023.MMP1376;;Mediterranean;10/12/23;;13;13;;;;;Northern Africa;Algeria;Drowning;;Unspecified location in the Mediterranean - embarkation from Mostaganem, Algeria en route to Murcia, Spain;;LAT  36.64910151;LONG  -0.248636;;Western Mediterranean;4;Incident;Uncategorized;;2023;December;36.64910151, -0.248636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3047;;2023.MMP1293;2023.MMP1293;;Northern Africa;10/12/23;1;;1;;;1;;Sub-Saharan Africa;Unknown;Harsh environmental conditions / lack of adequate shelter, food, water;The body of an immigrant from sub-Saharan Africa was found in Kasserine;Majel Bel Abbes, Kasserine, Tunisia;Arabesque, Nessma, diwanfm, Al Hadath Tunisia;LAT  34.744264;LONG  8.526628;https://archive.ph/Nku7s;;3;Incident;Northern Africa;;2023;December;34.744264, 8.526628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2080;;2023.MMP1268;2023.MMP1268;;Northern Africa;06/12/23;2;;2;1;;2;;Sub-Saharan Africa;Unknown;Mixed or unknown;;At a train station in Gafsa, Tunisia;Al Araby, Assarih;LAT  34.39525189;LONG  8.803352;https://archive.vn/e6Jck;;3;Incident;Uncategorized;;2023;December;34.39525189, 8.803352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3048;;2023.MMP1265;2023.MMP1265;;Mediterranean;03/12/23;1;;1;106;1;;;Eastern Africa;Eritrea;Harsh environmental conditions / lack of adequate shelter, food, water;Lampedusa: ritrovata una donna morta su un barcone insieme con altri 100 migranti, Migranti, una giovane eritrea morta durante il viaggio: gli altri 107 sono sbarcati a Lampedusa;Off the coast of Lampedusa, Italy - embarkation from Sabratha, Libya;IOM Italy, La Stampa, Giornale di Sicilia;LAT  37.26418764;LONG  13.552524;https://archive.vn/LGGCw;Central Mediterranean;4;Incident;Uncategorized;;2023;December;37.26418764, 13.552524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3049;;2023.MMP1375;2023.MMP1375;;Mediterranean;03/12/23;1;;1;;;;;Northern Africa;Morocco;Drowning;;Unspecified location in Alboran Sea between Nador, Morocco and Almeria, Spain;;LAT  35.9060327;LONG  -3.007733;;Western Mediterranean;4;Incident;Uncategorized;;2023;December;35.9060327, -3.007733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1388;;2023.MMP1263;2023.MMP1263;;Mediterranean;29/11/23;3;1;4;23;;;;Northern Africa (P);Unknown;Drowning;Cuatro migrantes fallecidos arrojados al mar de una patera llegada a San Fernando (Cádiz), Quatre Marocains morts noyés au large de Cadix, en Espagne;Playa de Camposoto, San Fernando, Cádiz, Spain;Europa Press, AFP via InfoMigrants, Diario Decadiz;LAT  36.42882894;LONG  -6.230333;https://archive.vn/w3fYd;Western Mediterranean;3;Incident;Uncategorized;;2023;November;36.42882894, -6.230333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
