data;url;url2;lieu;text;source
23/12/15;http://aa.com.tr/en/turkey/refugee-boat-capsizes-off-greek-island-13-drown/495290;http://aa.com.tr/en/turkey/refugee-boat-capsizes-off-greek-island-13-drown/495290;Turchia;Naufragio al largo della costa turca sulla rotta per l'isola greca di Farmakonissi. Recuperati 13 cadaveri in mare, tra cui quelli di 7 bambini. Continuano le ricerche di un disperso;Anadolu
22/12/15;http://aa.com.tr/en/turkey/refugee-boat-capsizes-off-southwest-turkey-12-drown/494904;http://aa.com.tr/en/turkey/refugee-boat-capsizes-off-southwest-turkey-12-drown/494904;Turchia;Naufragio lungo la costa sud occidentale della provincia di Aydin provoca la morte di 12 persone, compresi 4 bambini e 3 donne.;Anadolu
21/12/15;http://www.hcg.gr/node/11701;http://www.hcg.gr/node/11701;Grecia;Recuperato nel tratto di mare a nord dell'isola di Kalolymnos il corpo senza vita di un naufrago;Greek Coast Guard
21/12/15;http://www.hurriyetdailynews.com/69-afghan-refugees-rescued-two-migrants-drown-in-aegean----.aspx?pageID=238&nID=92805&NewsCatID=341;http://www.hurriyetdailynews.com/69-afghan-refugees-rescued-two-migrants-drown-in-aegean----.aspx?pageID=238&nID=92805&NewsCatID=341;Turchia;Naufragio al largo di Çe?me, ?zmir, sulla rotta per l'isola greca di Chios. La Guardia Costiera turca mette in salvo i 69 passeggeri afgani. Annegate una bimba di 3 anni e di una ragazza di 17 anni;Hurriyet
20/12/15;http://www.hcg.gr/node/11694;http://www.hcg.gr/node/11694;Grecia;Un'imbarcazione con 61 passeggeri a bordo si schianta contro gli scogli sull'isola di Chios. All'arrivo dei soccorsi viene ritrovato sulla cosa il corpo senza vita di un bambino;Greek Coast Guard
20/12/15;http://www.hcg.gr/node/11694;http://www.hcg.gr/node/11694;Grecia;Recuperate nel mare a sud dell'isola di Farmakonissi le salme di una donna e di un bambino, probabilmente vittime del naufragio dello scorso 8 dicembre;Greek Coast Guard
20/12/15;http://www.hcg.gr/node/11696;http://www.hcg.gr/node/11696;Grecia;Ritrovati sull'isola di Fournous i corpi di una ragazza 16enne annegata nella località di Kalamos;Greek Coast Guard
19/12/15;http://www.ekathimerini.com/204485/article/ekathimerini/news/eighteen-migrants-drown-after-boat-sinks-off-turkeys-southwestern-coast;http://www.ekathimerini.com/204485/article/ekathimerini/news/eighteen-migrants-drown-after-boat-sinks-off-turkeys-southwestern-coast;Turchia;Una barca diretta verso l'isola greca di Kalolymnos è affondata nella notte 2 miglia al largo di Bodrum: 18 i morti, tra cui 10 bambini e 4 donne, una incinta al quarto mese;Ekathimerini
19/12/15;http://www.20minutos.es/noticia/2348198/0/detenidos-robar/asesinar-borda-patera/inmigrantes/;http://www.20minutos.es/noticia/2348198/0/detenidos-robar/asesinar-borda-patera/inmigrantes/;Marocco;Naufragio davanti alle coste di Tangeri. La Guardia Costiera marocchina salva 21 dei 30 passeggeri. Recuperate 9 salme. Tra le vittime anche 3 neonati;ABC
19/12/15;http://www.hcg.gr/node/11693;http://www.hcg.gr/node/11693;Grecia;Ritrovate le salme di 2 naufraghi, un uomo e una bimba di 10 anni, lungo la costa nord occidentale dell'isola di Ikaria, davanti all'aeroporto, sulle spiagge Holy Sunday e Sanctuary;Greek Coast Guard
18/12/15;http://www.hurriyetdailynews.com/four-iraqi-migrants-drown-off-western-turkey---.aspx?pageID=238&nid=92698;http://www.hurriyetdailynews.com/four-iraqi-migrants-drown-off-western-turkey---.aspx?pageID=238&nid=92698;Turchia;4 cittadini iracheni, tra cui 2 bambini, sono morti annegati al largo di Bodrum nel naufragio di un'imbarcazione diretta verso l'isola greca di Kos;Hurriyet
18/12/15;http://www.hcg.gr/node/11694;http://www.hcg.gr/node/11694;Grecia;Ritrovati sulla costa sud dell'isola di Farmakonisi i corpi in avanzato stato di decomposizione di una donna e un bambino;Greek Coast Guard
18/12/15;http://www.repubblica.it/esteri/2015/12/18/news/migranti_naufragio_al_largo_turchia_quattro_morti_due_sono_bambini-129758505;http://www.repubblica.it/esteri/2015/12/18/news/migranti_naufragio_al_largo_turchia_quattro_morti_due_sono_bambini-129758505;Turchia;4 cittadini siriani, tra cui 3 bambini, hanno perso la vita in acque internazionali, dopo essere partiti dalla Turchia alla volta dell'isola greca di Farmakonissi, nel Dodecaneso. I corpi delle vittime sono stati portati a Rodi;Repubblica
18/12/15;http://www.hcg.gr/node/11694;http://www.hcg.gr/node/11694;Grecia;Soccorsa imbarcazione in difficoltà al largo dell'isola di Chios. A bordo 61 passeggeri e il corpo senza vita di un bambino deceduto durante la traversata;Greek Coast Guard
